color,position,actual_x,actual_y,actual_z,detected_x,detected_y,detected_z,error_x,error_y,error_z,error_xy,error_xyz,confidence
violet,center,0.48,0.0,0.02998990749120136,0.4720929521103331,3.874004323733979e-05,0.060080713970867165,-0.007907047889666896,3.874004323733979e-05,0.030090806479665805,0.007907142791200607,0.031112369593413056,0.9392400719261202
violet,left,0.48,0.2,0.02998990749120136,0.45844507058177864,0.1988832754772132,0.06007959665436905,-0.021554929418221347,-0.0011167245227867995,0.03008968916316769,0.021583837839557113,0.037030412498652354,0.9200891654966753
violet,right,0.48,-0.2,0.02998990749120136,0.45775667364725614,-0.19943612739818992,0.060079634338684115,-0.022243326352743842,0.0005638726018100948,0.030089726847482755,0.0222504723443288,0.0374229232062631,0.918243584590661
blue,center,0.48,0.0,0.02998990749120136,0.4720929521103331,3.874004323733979e-05,0.060080713970867165,-0.007907047889666896,3.874004323733979e-05,0.030090806479665805,0.007907142791200607,0.031112369593413056,0.9392400719261202
blue,left,0.48,0.2,0.02998990749120136,0.45844507058177864,0.1988832754772132,0.06007959665436905,-0.021554929418221347,-0.0011167245227867995,0.03008968916316769,0.021583837839557113,0.037030412498652354,0.9200891654966753
blue,right,0.48,-0.2,0.02998990749120136,0.45775667364725614,-0.19943612739818992,0.060079634338684115,-0.022243326352743842,0.0005638726018100948,0.030089726847482755,0.0222504723443288,0.0374229232062631,0.918243584590661
green,center,0.48,0.0,0.02998990749120136,0.4720929521103331,3.874004323733979e-05,0.060080713970867165,-0.007907047889666896,3.874004323733979e-05,0.030090806479665805,0.007907142791200607,0.031112369593413056,0.9392400719261202
green,left,0.48,0.2,0.02998990749120136,0.45844507058177864,0.1988832754772132,0.06007959665436905,-0.021554929418221347,-0.0011167245227867995,0.03008968916316769,0.021583837839557113,0.037030412498652354,0.9200891654966753
green,right,0.48,-0.2,0.02998990749120136,0.45775667364725614,-0.19943612739818992,0.060079634338684115,-0.022243326352743842,0.0005638726018100948,0.030089726847482755,0.0222504723443288,0.0374229232062631,0.918243584590661
yellow,center,0.48,0.0,0.02998990749120136,0.4720929521103331,3.874004323733979e-05,0.060080713970867165,-0.007907047889666896,3.874004323733979e-05,0.030090806479665805,0.007907142791200607,0.031112369593413056,0.9392400719261202
yellow,left,0.48,0.2,0.02998990749120136,0.45844507058177864,0.1988832754772132,0.06007959665436905,-0.021554929418221347,-0.0011167245227867995,0.03008968916316769,0.021583837839557113,0.037030412498652354,0.9200891654966753
yellow,right,0.48,-0.2,0.02998990749120136,0.45775667364725614,-0.19943612739818992,0.060079634338684115,-0.022243326352743842,0.0005638726018100948,0.030089726847482755,0.0222504723443288,0.0374229232062631,0.918243584590661
orange,center,0.48,0.0,0.02998990749120136,0.4720929521103331,3.874004323733979e-05,0.060080713970867165,-0.007907047889666896,3.874004323733979e-05,0.030090806479665805,0.007907142791200607,0.031112369593413056,0.9392400719261202
orange,left,0.48,0.2,0.02998990749120136,0.45844507058177864,0.1988832754772132,0.06007959665436905,-0.021554929418221347,-0.0011167245227867995,0.03008968916316769,0.021583837839557113,0.037030412498652354,0.9200891654966753
orange,right,0.48,-0.2,0.02998990749120136,0.45775667364725614,-0.19943612739818992,0.060079634338684115,-0.022243326352743842,0.0005638726018100948,0.030089726847482755,0.0222504723443288,0.0374229232062631,0.918243584590661
red,center,0.48,0.0,0.02998990749120136,0.4720929521103331,3.874004323733979e-05,0.060080713970867165,-0.007907047889666896,3.874004323733979e-05,0.030090806479665805,0.007907142791200607,0.031112369593413056,0.9392400719261202
red,left,0.48,0.2,0.02998990749120136,0.45844507058177864,0.1988832754772132,0.06007959665436905,-0.021554929418221347,-0.0011167245227867995,0.03008968916316769,0.021583837839557113,0.037030412498652354,0.9200891654966753
red,right,0.48,-0.2,0.02998990749120136,0.45775667364725614,-0.19943612739818992,0.060079634338684115,-0.022243326352743842,0.0005638726018100948,0.030089726847482755,0.0222504723443288,0.0374229232062631,0.918243584590661
